 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	rlulery
Date:	6/26/2013 10:38:27 AM
StationID:	0
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	AET(mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
6/14/2001	30.5716229560887	10.9136852701128	5.09127687857391E-41	0	0	0	3.64057182942835	3.57915592731216	11.8221848272044	0.0207163365109234	0	0.466488878
6/15/2001	31.056783807623	10.9047055822939	0.00273337890971637	0	0.024219414841521	0	3.7584175506435	3.7584175506435	12.9546637613047	0.232181113637592	0	5.15140335
6/16/2001	30.5150696160489	10.9025665509273	1.24095210515384E-07	0	0	0	3.73560238874257	3.66332156742044	9.21907187904627	0.139114862589373	0	0
6/17/2001	30.497859662946	10.8986530994148	5.63391384126021E-12	0	0	0	3.86991913695356	3.79503939724124	5.34916364259654	0.0840462764782527	0	0
6/18/2001	30.4718140715023	10.892950446069	2.55779292680812E-16	0	0	0	4.09141650332732	4.01225097228299	1.25775867724712	0.0510778695215072	0	0
6/19/2001	30.4403490033539	10.8858996724264	1.16123619224014E-20	0	0	0	4.25060666486868	1.34881023990273	0	0.0311877757892795	0	0.058518027
6/20/2001	30.4054984590039	10.87783209015	5.2720041565391E-25	0	0	0	4.26475544527914	0.050394719762277	0	0.0191173294454799	0	0.020973532
6/21/2001	30.3685041593731	10.8689974545433	2.39348618414165E-29	0	0	0	4.23354830943447	3.50761885461493	0	0.0117576153963253	0	3.502551145
6/22/2001	30.3301407063843	10.8595845531318	1.08664104647425E-33	0	0	0	4.04858971446681	0.996498183812764	0	0.00725241643672671	0	0.975191036
6/23/2001	30.2909003415364	10.8497364039509	4.93334271869804E-38	0	0	0	3.83062971766129	0.0265568970303366	0	0.00448520266577825	0	0
6/24/2001	30.2511012431169	10.8395615547378	2.23973412923356E-42	0	0	0	3.67371124274996	0.0254690165199563	0	0.00278042127319913	0	0
6/25/2001	30.2109524276703	10.8291425249973	1.01683772153752E-46	0	0	0	3.46214489024588	0.0240022745550174	0	0.00172735771047196	0	0
6/26/2001	30.1705933481341	10.8185421371878	4.61643611376513E-51	0	0	0	3.39019415355599	0.0235034563910638	0	0.00107529149356941	0	0
6/27/2001	30.1301184380041	10.8078082792943	2.09585875318195E-55	0	0	0	3.26219193602616	0.0226160458982593	0	0.000670629872395238	0	0
6/28/2001	30.0895925504737	10.7969774965913	9.51518401865688E-60	0	0	0	3.16991611907837	1.26515743725052	0	0.000418988056011789	0	1.25186003
