# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2013-07-02 10:19:46 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03373530 LOST RIVER NEAR LEIPSIC, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03373530
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03373530	2010-10-21	0.99	A
USGS	03373530	2010-10-22	1.0	A
USGS	03373530	2010-10-23	1.1	A
USGS	03373530	2010-10-24	1.1	A
USGS	03373530	2010-10-25	1.3	A
USGS	03373530	2010-10-26	1.7	A
USGS	03373530	2010-10-27	1.3	A
USGS	03373530	2010-10-28	0.95	A:e
USGS	03373530	2010-10-29	0.76	A:e
USGS	03373530	2010-10-30	0.72	A
USGS	03373530	2010-10-31	0.78	A
USGS	03373530	2010-11-01	0.79	A
USGS	03373530	2010-11-02	0.82	A
USGS	03373530	2010-11-03	0.87	A
USGS	03373530	2010-11-04	0.89	A
USGS	03373530	2010-11-05	0.96	A
USGS	03373530	2010-11-06	0.94	A
USGS	03373530	2010-11-07	0.85	A
USGS	03373530	2010-11-08	0.90	A
USGS	03373530	2010-11-09	0.96	A
USGS	03373530	2010-11-10	1.00	A
USGS	03373530	2010-11-11	0.96	A
USGS	03373530	2010-11-12	0.94	A
USGS	03373530	2010-11-13	0.98	A
USGS	03373530	2010-11-14	1.1	A:e
USGS	03373530	2010-11-15	1.0	A:e
USGS	03373530	2010-11-16	1.1	A
USGS	03373530	2010-11-17	1.6	A
USGS	03373530	2010-11-18	1.2	A
USGS	03373530	2010-11-19	0.92	A
USGS	03373530	2010-11-20	0.76	A
USGS	03373530	2010-11-21	0.84	A
USGS	03373530	2010-11-22	0.74	A
USGS	03373530	2010-11-23	1.7	A
USGS	03373530	2010-11-24	2.6	A
USGS	03373530	2010-11-25	249	A
USGS	03373530	2010-11-26	144	A
USGS	03373530	2010-11-27	51	A
USGS	03373530	2010-11-28	34	A
USGS	03373530	2010-11-29	27	A
USGS	03373530	2010-11-30	204	A
USGS	03373530	2010-12-01	85	A
USGS	03373530	2010-12-02	57	A
USGS	03373530	2010-12-03	45	A
USGS	03373530	2010-12-04	38	A
USGS	03373530	2010-12-05	32	A
USGS	03373530	2010-12-06	26	A
USGS	03373530	2010-12-07	23	A
USGS	03373530	2010-12-08	20	A
USGS	03373530	2010-12-09	19	A
USGS	03373530	2010-12-10	17	A
USGS	03373530	2010-12-11	17	A
USGS	03373530	2010-12-12	17	A
USGS	03373530	2010-12-13	17	A
USGS	03373530	2010-12-14	17	A:e
USGS	03373530	2010-12-15	16	A:e
USGS	03373530	2010-12-16	15	A
USGS	03373530	2010-12-17	14	A
USGS	03373530	2010-12-18	13	A
USGS	03373530	2010-12-19	12	A
USGS	03373530	2010-12-20	12	A
USGS	03373530	2010-12-21	12	A
USGS	03373530	2010-12-22	15	A
USGS	03373530	2010-12-23	15	A
USGS	03373530	2010-12-24	16	A
USGS	03373530	2010-12-25	17	A
USGS	03373530	2010-12-26	16	A
USGS	03373530	2010-12-27	15	A
USGS	03373530	2010-12-28	14	A
USGS	03373530	2010-12-29	14	A
USGS	03373530	2010-12-30	23	A
USGS	03373530	2010-12-31	29	A
USGS	03373530	2011-01-01	69	A
USGS	03373530	2011-01-02	62	A
USGS	03373530	2011-01-03	46	A
USGS	03373530	2011-01-04	39	A
USGS	03373530	2011-01-05	33	A
USGS	03373530	2011-01-06	29	A
USGS	03373530	2011-01-07	27	A
USGS	03373530	2011-01-08	23	A
USGS	03373530	2011-01-09	20	A:e
USGS	03373530	2011-01-10	18	A
USGS	03373530	2011-01-11	16	A
USGS	03373530	2011-01-12	15	A
USGS	03373530	2011-01-13	14	A
USGS	03373530	2011-01-14	13	A
USGS	03373530	2011-01-15	12	A
USGS	03373530	2011-01-16	12	A
USGS	03373530	2011-01-17	12	A
USGS	03373530	2011-01-18	13	A
USGS	03373530	2011-01-19	22	A
USGS	03373530	2011-01-20	18	A:e
USGS	03373530	2011-01-21	17	A:e
USGS	03373530	2011-01-22	16	A:e
USGS	03373530	2011-01-23	15	A
USGS	03373530	2011-01-24	15	A
USGS	03373530	2011-01-25	15	A
USGS	03373530	2011-01-26	17	A
USGS	03373530	2011-01-27	17	A
USGS	03373530	2011-01-28	19	A
USGS	03373530	2011-01-29	21	A
USGS	03373530	2011-01-30	37	A
USGS	03373530	2011-01-31	31	A
USGS	03373530	2011-02-01	51	A
USGS	03373530	2011-02-02	148	A
USGS	03373530	2011-02-03	60	A
USGS	03373530	2011-02-04	49	A
USGS	03373530	2011-02-05	45	A
USGS	03373530	2011-02-06	38	A
USGS	03373530	2011-02-07	43	A
USGS	03373530	2011-02-08	37	A
USGS	03373530	2011-02-09	29	A
USGS	03373530	2011-02-10	26	A
USGS	03373530	2011-02-11	24	A
USGS	03373530	2011-02-12	22	A
USGS	03373530	2011-02-13	21	A
USGS	03373530	2011-02-14	20	A
USGS	03373530	2011-02-15	18	A
USGS	03373530	2011-02-16	18	A
USGS	03373530	2011-02-17	17	A
