# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2013-07-02 10:22:21 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03373560 LOST RIVER NEAR PROSPECT, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03373560
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     Rat  Rating being developed or revised  
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03373560	2010-01-23	540	A
USGS	03373560	2010-01-24	519	A
USGS	03373560	2010-01-25	805	A
USGS	03373560	2010-01-26	673	A
USGS	03373560	2010-01-27	487	A
USGS	03373560	2010-01-28	408	A
USGS	03373560	2010-01-29	359	A
USGS	03373560	2010-01-30	326	A
USGS	03373560	2010-01-31	293	A
USGS	03373560	2010-02-01	266	A
USGS	03373560	2010-02-02	250	A
USGS	03373560	2010-02-03	237	A
USGS	03373560	2010-02-04	224	A
USGS	03373560	2010-02-05	243	A
USGS	03373560	2010-02-06	467	A
USGS	03373560	2010-02-07	414	A
USGS	03373560	2010-02-08	346	A
USGS	03373560	2010-02-09	310	A
USGS	03373560	2010-02-10	287	A
USGS	03373560	2010-02-11	264	A
USGS	03373560	2010-02-12	248	A
USGS	03373560	2010-02-13	237	A
USGS	03373560	2010-02-14	226	A
USGS	03373560	2010-02-15	220	A
USGS	03373560	2010-02-16	211	A
USGS	03373560	2010-02-17	201	A
USGS	03373560	2010-02-18	195	A
USGS	03373560	2010-02-19	190	A
USGS	03373560	2010-02-20	192	A
USGS	03373560	2010-02-21	254	A
USGS	03373560	2010-02-22	555	A
USGS	03373560	2010-02-23	682	A
USGS	03373560	2010-02-24	554	A
USGS	03373560	2010-02-25	438	A
USGS	03373560	2010-02-26	368	A
USGS	03373560	2010-02-27	326	A
USGS	03373560	2010-02-28	289	A
USGS	03373560	2010-03-01	256	A
USGS	03373560	2010-03-02	233	A
USGS	03373560	2010-03-03	217	A
USGS	03373560	2010-03-04	201	A
USGS	03373560	2010-03-05	189	A
USGS	03373560	2010-03-06	178	A
USGS	03373560	2010-03-07	170	A
USGS	03373560	2010-03-08	164	A
USGS	03373560	2010-03-09	159	A
USGS	03373560	2010-03-10	154	A
USGS	03373560	2010-03-11	150	A
USGS	03373560	2010-03-12	146	A
USGS	03373560	2010-03-13	151	A
USGS	03373560	2010-03-14	162	A
USGS	03373560	2010-03-15	168	A
USGS	03373560	2010-03-16	157	A
USGS	03373560	2010-03-17	148	A
USGS	03373560	2010-03-18	143	A
USGS	03373560	2010-03-19	138	A
USGS	03373560	2010-03-20	134	A
USGS	03373560	2010-03-21	132	A
USGS	03373560	2010-03-22	168	A
USGS	03373560	2010-03-23	250	A
USGS	03373560	2010-03-24	221	A
USGS	03373560	2010-03-25	293	A
USGS	03373560	2010-03-26	1240	A:e
USGS	03373560	2010-03-27	1080	A:e
USGS	03373560	2010-03-28	947	A
USGS	03373560	2010-03-29	746	A:e
USGS	03373560	2010-03-30	564	A:e
USGS	03373560	2010-03-31	479	A
USGS	03373560	2010-04-01	418	A
USGS	03373560	2010-04-02	377	A
USGS	03373560	2010-04-03	348	A
USGS	03373560	2010-04-04	320	A
USGS	03373560	2010-04-05	296	A
USGS	03373560	2010-04-06	276	A
USGS	03373560	2010-04-07	263	A
USGS	03373560	2010-04-08	572	A
USGS	03373560	2010-04-09	595	A
USGS	03373560	2010-04-10	424	A
USGS	03373560	2010-04-11	336	A
USGS	03373560	2010-04-12	280	A
USGS	03373560	2010-04-13	234	A
USGS	03373560	2010-04-14	196	A
USGS	03373560	2010-04-15	164	A
USGS	03373560	2010-04-16	146	A
USGS	03373560	2010-04-17	133	A
USGS	03373560	2010-04-18	120	A
USGS	03373560	2010-04-19	107	A
USGS	03373560	2010-04-20	99	A
USGS	03373560	2010-04-21	92	A
USGS	03373560	2010-04-22	85	A
USGS	03373560	2010-04-23	80	A
USGS	03373560	2010-04-24	84	A
USGS	03373560	2010-04-25	176	A
USGS	03373560	2010-04-26	176	A
USGS	03373560	2010-04-27	135	A
USGS	03373560	2010-04-28	110	A
USGS	03373560	2010-04-29	96	A
USGS	03373560	2010-04-30	84	A
USGS	03373560	2010-05-01	285	A
USGS	03373560	2010-05-02	805	A
USGS	03373560	2010-05-03	1000	A
USGS	03373560	2010-05-04	678	A
USGS	03373560	2010-05-05	432	A
USGS	03373560	2010-05-06	314	A
USGS	03373560	2010-05-07	256	A
USGS	03373560	2010-05-08	215	A
USGS	03373560	2010-05-09	177	A
USGS	03373560	2010-05-10	150	A
USGS	03373560	2010-05-11	133	A
USGS	03373560	2010-05-12	219	A
USGS	03373560	2010-05-13	412	A
USGS	03373560	2010-05-14	284	A
USGS	03373560	2010-05-15	214	A
USGS	03373560	2010-05-16	169	A
USGS	03373560	2010-05-17	148	A
USGS	03373560	2010-05-18	135	A
USGS	03373560	2010-05-19	122	A
USGS	03373560	2010-05-20	109	A
USGS	03373560	2010-05-21	163	A
USGS	03373560	2010-05-22	550	A
USGS	03373560	2010-05-23	352	A
USGS	03373560	2010-05-24	236	A
USGS	03373560	2010-05-25	179	A
USGS	03373560	2010-05-26	149	A
USGS	03373560	2010-05-27	128	A
USGS	03373560	2010-05-28	111	A
USGS	03373560	2010-05-29	99	A
USGS	03373560	2010-05-30	87	A
USGS	03373560	2010-05-31	83	A
USGS	03373560	2010-06-01	82	A
USGS	03373560	2010-06-02	73	A
USGS	03373560	2010-06-03	104	A
USGS	03373560	2010-06-04	83	A
USGS	03373560	2010-06-05	67	A
USGS	03373560	2010-06-06	59	A
USGS	03373560	2010-06-07	52	A
USGS	03373560	2010-06-08	47	A
USGS	03373560	2010-06-09	45	A
USGS	03373560	2010-06-10	43	A
USGS	03373560	2010-06-11	41	A
USGS	03373560	2010-06-12	42	A
USGS	03373560	2010-06-13	43	A
USGS	03373560	2010-06-14	55	A
USGS	03373560	2010-06-15	66	A
USGS	03373560	2010-06-16	104	A
USGS	03373560	2010-06-17	79	A
USGS	03373560	2010-06-18	58	A
USGS	03373560	2010-06-19	58	A
USGS	03373560	2010-06-20	130	A
USGS	03373560	2010-06-21	92	A
USGS	03373560	2010-06-22	65	A
USGS	03373560	2010-06-23	55	A
USGS	03373560	2010-06-24	48	A
USGS	03373560	2010-06-25	43	A
USGS	03373560	2010-06-26	40	A
USGS	03373560	2010-06-27	38	A
USGS	03373560	2010-06-28	70	A
USGS	03373560	2010-06-29	107	A
USGS	03373560	2010-06-30	66	A
USGS	03373560	2010-07-01	48	A
USGS	03373560	2010-07-02	41	A
USGS	03373560	2010-07-03	37	A
USGS	03373560	2010-07-04	34	A
USGS	03373560	2010-07-05	33	A
USGS	03373560	2010-07-06	31	A
USGS	03373560	2010-07-07	30	A
USGS	03373560	2010-07-08	31	A
USGS	03373560	2010-07-09	32	A
USGS	03373560	2010-07-10	33	A
USGS	03373560	2010-07-11	30	A
USGS	03373560	2010-07-12	27	A
USGS	03373560	2010-07-13	26	A
USGS	03373560	2010-07-14	26	A
USGS	03373560	2010-07-15	26	A
USGS	03373560	2010-07-16	31	A
USGS	03373560	2010-07-17	28	A
USGS	03373560	2010-07-18	55	A
USGS	03373560	2010-07-19	30	A
USGS	03373560	2010-07-20	35	A
USGS	03373560	2010-07-21	72	A
USGS	03373560	2010-07-22	93	A
USGS	03373560	2010-07-23	48	A
USGS	03373560	2010-07-24	34	A
USGS	03373560	2010-07-25	30	A
USGS	03373560	2010-07-26	27	A
USGS	03373560	2010-07-27	25	A
USGS	03373560	2010-07-28	23	A
USGS	03373560	2010-07-29	23	A
USGS	03373560	2010-07-30	22	A
USGS	03373560	2010-07-31	21	A
USGS	03373560	2010-08-01	20	A
USGS	03373560	2010-08-02	19	A
USGS	03373560	2010-08-03	19	A
USGS	03373560	2010-08-04	18	A
USGS	03373560	2010-08-05	18	A
USGS	03373560	2010-08-06	18	A
USGS	03373560	2010-08-07	17	A
USGS	03373560	2010-08-08	17	A
USGS	03373560	2010-08-09	16	A
USGS	03373560	2010-08-10	16	A
USGS	03373560	2010-08-11	16	A
USGS	03373560	2010-08-12	15	A
USGS	03373560	2010-08-13	15	A
USGS	03373560	2010-08-14	15	A
USGS	03373560	2010-08-15	15	A
USGS	03373560	2010-08-16	14	A
USGS	03373560	2010-08-17	14	A
USGS	03373560	2010-08-18	14	A
USGS	03373560	2010-08-19	14	A
USGS	03373560	2010-08-20	13	A
USGS	03373560	2010-08-21	14	A
USGS	03373560	2010-08-22	15	A
USGS	03373560	2010-08-23	15	A
USGS	03373560	2010-08-24	14	A
USGS	03373560	2010-08-25	13	A
USGS	03373560	2010-08-26	13	A
USGS	03373560	2010-08-27	12	A
USGS	03373560	2010-08-28	12	A
USGS	03373560	2010-08-29	11	A
USGS	03373560	2010-08-30	11	A
USGS	03373560	2010-08-31	11	A
USGS	03373560	2010-09-01	11	A
USGS	03373560	2010-09-02	11	A
USGS	03373560	2010-09-03	11	A
